Ts (degC),I (a.u.),x3,x4,x5,P (W),q (slm)
46.41,2291958.38828005,2.5,5,2.5,2.5,5
46.53,2298922.09796057,2.5,5,2.5,2.5,5
46.58,2269908.44768801,2.5,5,2.5,2.5,5
46.54,2267233.95448312,2.5,5,2.5,2.5,5
46.56,2249656.53126883,2.5,5,2.5,2.5,5
46.57,2300901.57524434,2.5,5,2.5,2.5,5
46.56,2304759.02447372,2.5,5,2.5,2.5,5
46.54,2279106.99941728,2.5,5,2.5,2.5,5
46.63,2266689.84152259,2.5,5,2.5,2.5,5
46.42,2256186.00998117,2.5,5,2.5,2.5,5
46.51,2294999.11373119,2.5,5,2.5,2.5,5
46.52,2285278.12979319,2.5,5,2.5,2.5,5
46.53,2256470.44666349,2.5,5,2.5,2.5,5
46.47,2262510.63022555,2.5,5,2.5,2.5,5
46.57,2270468.205282,2.5,5,2.5,2.5,5
46.67,2286548.67112778,2.5,5,2.5,2.5,5
46.62,2299170.9338628,2.5,5,2.5,2.5,5
46.55,2266909.35913537,2.5,5,2.5,2.5,5
46.57,2290722.21586462,2.5,5,2.5,2.5,5
46.66,2269054.76808266,2.5,5,2.5,2.5,5
46.62,2267834.36348688,2.5,5,2.5,2.5,5
46.63,2252320.9232143,2.5,5,2.5,2.5,5
46.86,2271850.96914473,2.5,5,2.5,2.5,5
46.67,2262488.70310147,2.5,5,2.5,2.5,5
46.67,2249154.79432332,2.5,5,2.5,2.5,5
46.6,2253914.5816635,2.5,5,2.5,2.5,5
46.55,2255970.06476505,2.5,5,2.5,2.5,5
46.62,2271283.6971992,2.5,6,2.5,2.5,6
46.63,2304600.73034777,2.5,6,2.5,2.5,6
46.26,2277882.89923869,2.5,6,2.5,2.5,6
46.29,2322812.68511282,2.5,6,2.5,2.5,6
46.11,2385066.13085523,2.5,6,2.5,2.5,6
45.97,2369600.73315788,2.5,6,2.5,2.5,6
45.97,2328633.10468983,2.5,6,2.5,2.5,6
45.84,2365099.51342108,2.5,6,2.5,2.5,6
45.89,2255571.18820489,2.5,6,2.5,2.5,6
45.94,2261130.69964287,2.5,6,2.5,2.5,6
45.84,2316525.63662597,2.5,6,2.5,2.5,6
45.86,2296574.78701124,2.5,6,2.5,2.5,6
45.76,2257840.522359,2.5,6,2.5,2.5,6
45.75,2255083.74084587,2.5,6,2.5,2.5,6
45.67,2258286.82556393,2.5,6,2.5,2.5,6
45.76,2384902.78609964,2.5,6,2.5,2.5,6
45.76,2232105.83943604,2.5,6,2.5,2.5,6
45.8,2284499.84007519,2.5,6,2.5,2.5,6
45.72,2285953.06638154,2.5,6,2.5,2.5,6
45.73,2345265.93696431,2.5,6,2.5,2.5,6
45.77,2335420.41188913,2.5,6,2.5,2.5,6
45.66,2393470.37867484,2.5,6,2.5,2.5,6
45.59,2379655.30502821,2.5,6,2.5,2.5,6
45.52,2365383.08780073,2.5,6,2.5,2.5,6
45.52,2332835.84453005,2.5,6,2.5,2.5,6
45.48,2385055.04410717,2.5,6,2.5,2.5,6
45.41,2299021.87869363,2.5,6,2.5,2.5,6
45.31,2372629.63274433,2.5,6,2.5,2.5,6
45.38,2283496.73574252,2.5,6,2.5,2.5,6
45.2,2366823.99549808,2.5,6,2.5,2.5,6
45.23,2327408.51176689,2.5,6,2.5,2.5,6
45.4,2356480.05950187,2.5,6,2.5,2.5,6
45.39,2238818.61905076,2.5,6,2.5,2.5,6
45.35,2263082.7064286,2.5,6,2.5,2.5,6
45.43,2308263.66874061,2.5,6,2.5,2.5,6
45.54,2236663.35521616,2.5,6,2.5,2.5,6
45.37,2239347.82649432,2.5,6,2.5,2.5,6
45.48,2256203.13284774,2.5,6,2.5,2.5,6
45.58,2263829.58369361,2.5,6,2.5,2.5,6
45.57,2285338.24460522,2.5,6,2.5,2.5,6
45.63,2256880.90271616,2.5,6,2.5,2.5,6
45.54,2305685.01431392,2.5,6,2.5,2.5,6
45.52,2308592.82197371,2.5,6,2.5,2.5,6
45.61,2245220.84653199,2.5,6,2.5,2.5,6
45.59,2305905.02467108,2.5,6,2.5,2.5,6
45.42,2339886.64677632,2.5,6,2.5,2.5,6
45.45,2330543.59776317,2.5,6,2.5,2.5,6
45.38,2278874.30089287,2.5,6,2.5,2.5,6
45.38,2250584.49208648,2.5,6,2.5,2.5,6
45.3,2305101.60499061,2.5,6,2.5,2.5,6
45.29,2314464.11740603,2.5,6,2.5,2.5,6
45.35,2267703.78623118,2.5,6,2.5,2.5,6
45.49,2270813.24952064,2.5,6,2.5,2.5,6
45.55,2268527.6548026,2.5,6,2.5,2.5,6
45.6,2284727.61115603,2.5,6,2.5,2.5,6
45.58,2281681.21914474,2.5,6,2.5,2.5,6
45.56,2233450.0460526,2.5,6,2.5,2.5,6
45.54,2252858.75368424,2.5,6,2.5,2.5,6
45.52,2297333.61332711,2.5,6,2.5,2.5,6
45.48,2256568.87234965,2.5,6,2.5,2.5,6
45.59,2250253.24468983,3.5,4.5,3.5,3.5,4.5
45.98,2442844.22593982,3.5,4.5,3.5,3.5,4.5
46.84,2427624.3381203,3.5,4.5,3.5,3.5,4.5
47.73,2444504.28169174,3.5,4.5,3.5,3.5,4.5
48.31,2449014.61719922,3.5,4.5,3.5,3.5,4.5
48.63,2411050.01923872,3.5,4.5,3.5,3.5,4.5
48.91,2421036.46920116,3.5,4.5,3.5,3.5,4.5
49.2,2435501.22628761,3.5,4.5,3.5,3.5,4.5
49.44,2365721.47999057,3.5,4.5,3.5,3.5,4.5
49.43,2421406.15065791,3.5,4.5,3.5,3.5,4.5
49.73,2434122.89712404,3.5,4.5,3.5,3.5,4.5
49.92,2413644.44148492,3.5,4.5,3.5,3.5,4.5
50.13,2418514.60356203,3.5,4.5,3.5,3.5,4.5
50.09,2411617.4143703,3.5,4.5,3.5,3.5,4.5
50.22,2425386.41641917,3.5,4.5,3.5,3.5,4.5
50.29,2420452.19757518,3.5,4.5,3.5,3.5,4.5
50.55,2441313.51558267,3.5,4.5,3.5,3.5,4.5
50.63,2410701.52578947,3.5,4.5,3.5,3.5,4.5
50.68,2431528.10531951,3.5,4.5,3.5,3.5,4.5
50.79,2384292.15265034,3.5,4.5,3.5,3.5,4.5
50.91,2390514.77481201,3.5,4.5,3.5,3.5,4.5
51.09,2409894.65689853,3.5,4.5,3.5,3.5,4.5
51.13,2434314.9442387,3.5,4.5,3.5,3.5,4.5
51.22,2418472.47391916,3.5,4.5,3.5,3.5,4.5
51.25,2429304.22683269,3.5,4.5,3.5,3.5,4.5
51.38,2459455.6238346,3.5,4.5,3.5,3.5,4.5
51.51,2431242.68314851,3.5,4.5,3.5,3.5,4.5
51.74,2442835.23335524,3.5,4.5,3.5,3.5,4.5
51.59,2400465.13125001,3.5,4.5,3.5,3.5,4.5
51.65,2425212.97040412,3.5,4.5,3.5,3.5,4.5
51.67,2463927.52528198,3.5,4.5,3.5,3.5,4.5
51.68,2446159.41000002,3.5,4.5,3.5,3.5,4.5
51.84,2470981.03762218,3.5,4.5,3.5,3.5,4.5
51.92,2482292.2307989,3.5,4.5,3.5,3.5,4.5
51.95,2456983.03263156,3.5,4.5,3.5,3.5,4.5
52.01,2457983.42687031,3.5,4.5,3.5,3.5,4.5
52.15,2459566.49131577,3.5,4.5,3.5,3.5,4.5
52.22,2485937.79995297,3.5,4.5,3.5,3.5,4.5
52.1,2495174.16981203,3.5,4.5,3.5,3.5,4.5
52.14,2445600.51470861,3.5,4.5,3.5,3.5,4.5
52.2,2427223.4905827,3.5,4.5,3.5,3.5,4.5
52.16,2444322.95176691,3.5,4.5,3.5,3.5,4.5
52.15,2444430.61640976,3.5,4.5,3.5,3.5,4.5
52.16,2426092.14953004,3.5,4.5,3.5,3.5,4.5
52.22,2394201.48812031,3.5,4.5,3.5,3.5,4.5
52.32,2401512.70576126,3.5,4.5,3.5,3.5,4.5
52.41,2423601.20359965,3.5,4.5,3.5,3.5,4.5
52.36,2461518.86765976,3.5,4.5,3.5,3.5,4.5
52.4,2448722.05023493,3.5,4.5,3.5,3.5,4.5
52.49,2462456.19062033,3.5,4.5,3.5,3.5,4.5
52.63,2448050.43967107,3.5,4.5,3.5,3.5,4.5
52.61,2414193.97463345,3.5,4.5,3.5,3.5,4.5
52.62,2444544.07079888,3.5,4.5,3.5,3.5,4.5
52.64,2453109.32283833,3.5,4.5,3.5,3.5,4.5
52.7,2410923.8766823,3.5,4.5,3.5,3.5,4.5
52.67,2418684.47718046,3.5,4.5,3.5,3.5,4.5
52.7,2441534.51142859,3.5,4.5,3.5,3.5,4.5
52.75,2441241.20534775,3.5,4.5,3.5,3.5,4.5
52.72,2447640.72273493,3.5,4.5,3.5,3.5,4.5
52.65,2439047.507453,3.5,4.5,3.5,3.5,4.5
52.7,2456727.79105262,3.5,4.5,3.5,3.5,4.5
52.91,2419285.62530076,3.5,4.5,3.5,3.5,4.5
52.84,2456005.18144739,3.5,4.5,3.5,3.5,4.5
52.89,2457049.67630636,3.5,4.5,3.5,3.5,4.5
53.03,2450233.42037597,3.5,4.5,3.5,3.5,4.5
53.01,2468813.70155075,3.5,4.5,3.5,3.5,4.5
53.01,2443799.41088345,3.5,4.5,3.5,3.5,4.5
53.12,2489908.94994361,3.5,4.5,3.5,3.5,4.5
53.02,2448306.91311089,3.5,4.5,3.5,3.5,4.5
53.06,2424589.1560432,3.5,4.5,3.5,3.5,4.5
53.14,2379569.81388159,3.5,4.5,3.5,3.5,4.5
53.01,2436645.50187973,3.5,4.5,3.5,3.5,4.5
52.99,2446076.0130169,3.5,4.5,3.5,3.5,4.5
52.99,2476508.02793234,3.5,4.5,3.5,3.5,4.5
52.98,2438620.4212782,3.5,4.5,3.5,3.5,4.5
53.02,2435566.88447371,3.5,4.5,3.5,3.5,4.5
53.14,2471689.85038535,3.5,4.5,3.5,3.5,4.5
53.07,2424489.00575188,3.5,4.5,3.5,3.5,4.5
53.1,2406463.92428572,3.5,4.5,3.5,3.5,4.5
53.17,2433120.28553574,3.5,4.5,3.5,3.5,4.5
53.27,2423778.46838345,3.5,4.5,3.5,3.5,4.5
53.24,2411154.11148493,3.5,4.5,3.5,3.5,4.5
53.36,2452834.12511281,3.5,4.5,3.5,3.5,4.5
53.52,2437946.9629229,3.5,4.5,3.5,3.5,4.5
53.46,2427057.31254697,3.5,4.5,3.5,3.5,4.5
53.42,2439051.57259401,3.5,4.5,3.5,3.5,4.5
53.52,2457875.76222745,3.5,4.5,3.5,3.5,4.5
53.56,2458209.10378758,3.5,4.5,3.5,3.5,4.5
53.6,2474484.20365604,3.5,4.5,3.5,3.5,4.5
53.65,2434059.33310148,3.5,4.5,3.5,3.5,4.5
53.6,2446695.63905075,3.5,4.5,3.5,3.5,4.5
53.51,2399904.51135341,3.5,4.5,3.5,3.5,4.5
53.52,2396413.66392858,3.5,4.5,3.5,3.5,4.5
53.57,2420911.06576127,3.5,4.5,3.5,3.5,4.5
53.53,2441744.7900846,3.5,4.5,3.5,3.5,4.5
53.48,2486427.58784775,3.5,4.5,3.5,3.5,4.5
53.42,2415769.03198312,3.5,4.5,3.5,3.5,4.5
53.48,2445356.97580828,3.5,4.5,3.5,3.5,4.5
53.52,2435371.01859025,3.5,4.5,3.5,3.5,4.5
53.5,2467834.37213346,3.5,4.5,3.5,3.5,4.5
53.41,2458417.28828004,3.5,4.5,3.5,3.5,4.5
53.52,2489944.30435148,3.5,4.5,3.5,3.5,4.5
53.41,2440484.84275374,3.5,4.5,3.5,3.5,4.5
53.41,2421577.37932332,3.5,4.5,3.5,3.5,4.5
53.39,2462656.49120299,3.5,4.5,3.5,3.5,4.5
53.39,2483438.72374061,3.5,4.5,3.5,3.5,4.5
53.52,2421702.1668327,3.5,4.5,3.5,3.5,4.5
53.36,2464004.51658832,3.5,4.5,3.5,3.5,4.5
53.46,2466615.69214288,3.5,4.5,3.5,3.5,4.5
53.58,2429146.17907891,3.5,4.5,3.5,3.5,4.5
53.47,2433517.1911184,3.5,4.5,3.5,3.5,4.5
53.49,2404848.33871238,3.5,4.5,3.5,3.5,4.5
53.41,2441269.78452064,3.5,4.5,3.5,3.5,4.5
53.45,2442035.26288535,3.5,4.5,3.5,3.5,4.5
53.44,2422468.01475567,3.5,4.5,3.5,3.5,4.5
53.42,2443006.70839288,3.5,4.5,3.5,3.5,4.5
53.48,2466275.57534775,3.5,4.5,3.5,3.5,4.5
53.53,2433868.02510342,3.5,4.5,3.5,3.5,4.5
53.65,2452482.79838347,3.5,4.5,3.5,3.5,4.5
53.74,2452452.74097746,3.5,4.5,3.5,3.5,4.5
53.72,2404083.22990603,3,3.5,3,3,3.5
53.83,2431297.3777726,3,3.5,3,3,3.5
54.36,2347370.44812972,3,3.5,3,3,3.5
54.87,2448182.74153198,3,3.5,3,3,3.5
55.14,2467422.5610338,3,3.5,3,3,3.5
55.42,2429431.23169175,3,3.5,3,3,3.5
55.52,2440452.81437031,3,3.5,3,3,3.5
55.57,2444405.24007518,3,3.5,3,3,3.5
55.83,2427457.05140976,3,3.5,3,3,3.5
55.75,2414405.73152258,3,3.5,3,3,3.5
55.72,2436733.45674809,3,3.5,3,3,3.5
55.77,2407621.75034774,3,3.5,3,3,3.5
55.87,2403427.51034773,3,3.5,3,3,3.5
55.93,2422765.5091635,3,3.5,3,3,3.5
55.96,2400879.03651317,3,3.5,3,3,3.5
56.02,2422418.61713345,3,3.5,3,3,3.5
55.98,2405090.27619362,3,3.5,3,3,3.5
56.05,2436397.40509401,3,3.5,3,3,3.5
56.08,2382117.05585524,3,3.5,3,3,3.5
56.2,2407607.83031952,3,3.5,3,3,3.5
56.22,2433112.89437031,3,3.5,3,3,3.5
56.25,2401632.07308269,3,3.5,3,3,3.5
56.31,2379957.60369363,3,3.5,3,3,3.5
56.35,2431861.93962404,3,3.5,3,3,3.5
56.33,2442451.13912597,3,3.5,3,3,3.5
56.39,2395859.94245301,3,3.5,3,3,3.5
56.51,2422432.41397556,3,3.5,3,3,3.5
56.55,2453719.70991544,3,3.5,3,3,3.5
56.71,2419384.05098687,3,3.5,3,3,3.5
56.69,2428512.756203,3,3.5,3,3,3.5
56.76,2404953.78600568,3,3.5,3,3,3.5
56.71,2387484.88973686,3,3.5,3,3,3.5
56.87,2434155.41825188,3,3.5,3,3,3.5
56.88,2410277.51926689,3,3.5,3,3,3.5
56.85,2404956.24972744,3,3.5,3,3,3.5
56.81,2455055.29350566,3,3.5,3,3,3.5
56.85,2459921.14406952,3,3.5,3,3,3.5
56.89,2455615.66703005,3,3.5,3,3,3.5
56.91,2475598.42184207,3,3.5,3,3,3.5
56.88,2402210.43177631,3,3.5,3,3,3.5
56.87,2486015.53037597,3,3.5,3,3,3.5
56.95,2430273.94773493,3,3.5,3,3,3.5
56.92,2439043.44231204,3,3.5,3,3,3.5
56.98,2381919.83492485,3,3.5,3,3,3.5
57.06,2460849.22807331,3,3.5,3,3,3.5
57.01,2445113.68328006,3,3.5,3,3,3.5
56.97,2404271.70462404,3,3.5,3,3,3.5
56.98,2413953.76175748,3,3.5,3,3,3.5
57.05,2409299.05215228,3,3.5,3,3,3.5
57.06,2397768.34136281,3,3.5,3,3,3.5
57.07,2402178.0338346,3,3.5,3,3,3.5
57.19,2420042.97338347,3,3.5,3,3,3.5
57.32,2443515.83650376,3,3.5,3,3,3.5
57.39,2435449.48812973,3,3.5,3,3,3.5
57.29,2397993.89509401,3,3.5,3,3,3.5
57.36,2429885.6651786,3,3.5,3,3,3.5
57.29,2393431.08231201,3,3.5,3,3,3.5
57.29,2450774.70005635,3,3.5,3,3,3.5
57.24,2460788.99007517,3,3.5,3,3,3.5
57.28,2454120.18789474,3,3.5,3,3,3.5
57.21,2446527.24366544,3,4,3,3,4
57.18,2430534.97906014,3,4,3,3,4
56.94,2448850.90288536,3,4,3,3,4
56.64,2467305.65743423,3,4,3,3,4
56.31,2447023.92998119,3,4,3,3,4
56.35,2425597.55737778,3,4,3,3,4
56.25,2413130.87867484,3,4,3,3,4
56.22,2431764.74579887,3,4,3,3,4
56.14,2448829.0989474,3,4,3,3,4
56.18,2469455.13152258,3,4,3,3,4
56.25,2479346.11226502,3,4,3,3,4
56.17,2452234.33203946,3,4,3,3,4
56.23,2431119.25068605,3,4,3,3,4
56.11,2454311.24952065,3,4,3,3,4
56.16,2474948.24565789,3,4,3,3,4
56.06,2441947.43120297,3,4,3,3,4
55.99,2457336.82308268,3,4,3,3,4
55.97,2442579.00628759,3,4,3,3,4
56.15,2452294.20047933,3,4,3,3,4
56.09,2407597.35950189,3,4,3,3,4
56.07,2484575.238609,3,4,3,3,4
55.97,2507046.2292575,3,4,3,3,4
